Time,Voltage
1,468
2,465
3,460
4,456
5,453
6,448
7,445
8,441
9,439
10,435
11,432
12,430
13,427
14,425
15,422
16,420
17,418
18,416
19,414
20,413
21,411
22,410
23,409
24,407
25,406
26,405
27,404
28,403
29,402
30,401
31,400
32,398
33,396
34,393
35,390
36,387
37,385
38,382
39,379
40,377
41,375
42,373
43,371
44,369
45,368
46,366
47,365
48,363
49,362
50,362
51,360
52,359
53,359
54,358
55,357
56,356
57,355
58,355
59,354
60,354
61,353
62,353
63,353
64,352
65,352
66,354
67,358
68,363
69,369
70,375
71,382
72,388
73,395
74,401
75,408
76,414
77,420
78,426
79,431
80,436
81,441
82,446
83,450
84,454
85,458
86,462
87,465
88,469
89,472
90,475
91,478
92,479
93,481
94,484
95,486
96,488
97,490
98,492
99,497
100,504
101,512
102,520
103,528
104,535
105,541
106,547
107,552
108,557
109,562
110,566
111,569
112,573
113,576
114,579
115,581
116,583
117,585
118,587
119,589
120,590
121,592
122,593
123,594
124,596
125,597
126,598
127,599
128,600
129,601
130,602
131,602
132,603
133,603
134,603
135,604
136,604
137,604
138,605
139,605
140,605
141,606
142,606
143,607
144,607
145,607
146,607
147,607
148,607
149,603
150,598
151,591
152,583
153,576
154,570
155,562
156,556
157,550
158,544
159,538
160,533
161,528
162,524
163,519
164,515
165,511
166,507
167,504
168,500
169,497
170,494
171,492
172,490
173,487
174,485
175,483
176,481
177,480
178,479
179,477
180,475
181,474
182,473
183,471
184,470
185,470
186,469
187,468
188,467
189,467
190,466
191,466
192,465
193,465
194,465
195,465
196,464
197,464
198,464
199,463
200,462
201,462
202,462
203,462
204,462
205,461
206,461
207,461
208,461
209,460
210,460
211,460
212,460
213,460
214,460
215,461
216,462
217,464
218,466
219,469
220,471
221,474
222,476
223,479
224,481
225,483
226,485
227,487
228,488
229,490
230,491
231,493
232,494
233,495
234,496
235,496
236,498
237,499
238,499
239,500
240,501
241,501
242,502
243,503
244,504
245,504
246,504
247,505
248,505
249,503
250,500
251,496
252,493
253,489
254,485
255,481
256,478
257,474
258,471
259,468
260,465
261,463
262,460
263,458
264,455
265,453
266,451
267,449
268,447
269,445
270,444
271,442
272,441
273,440
274,439
275,438
276,437
277,436
278,435
279,434
280,433
281,433
282,433
283,435
284,437
285,441
286,444
287,447
288,451
289,455
290,458
291,461
292,464
293,467
294,469
295,472
296,474
297,476
298,478
299,480
300,481
301,482
302,484
303,485
304,486
305,487
306,489
307,490
308,491
309,492
310,493
311,494
312,495
313,495
314,496
315,498
316,504
317,511
318,520
319,529
320,536
321,544
322,551
323,557
324,563
325,568
326,572
327,576
328,580
329,584
330,586
331,589
332,591
333,594
334,596
335,598
336,600
337,601
338,603
339,604
340,606
341,607
342,607
343,609
344,609
345,611
346,611
347,611
348,611
349,608
350,603
351,596
352,589
353,581
354,573
355,566
356,560
357,552
358,546
359,540
360,534
361,529
362,525
363,520
364,515
365,511
366,507
367,504
368,500
369,497
370,493
371,491
372,488
373,486
374,483
375,481
376,479
377,477
378,476
379,474
380,473
381,471
382,469
383,465
384,461
385,457
386,453
387,449
388,445
389,441
390,437
391,434
392,430
393,427
394,425
395,422
396,420
397,418
398,415
399,413
400,411
401,409
402,407
403,406
404,404
405,403
406,402
407,400
408,399
409,398
410,397
411,396
412,396
413,395
414,394
415,395
416,397
417,403
418,410
419,417
420,425
421,433
422,441
423,448
424,455
425,462
426,468
427,474
428,479
429,484
430,489
431,493
432,497
433,500
434,503
435,506
436,510
437,512
438,515
439,517
440,519
441,522
442,524
443,525
444,527
445,528
446,530
447,531
448,533
449,535
450,538
451,541
452,545
453,549
454,552
455,556
456,559
457,561
458,564
459,566
460,568
461,570
462,572
463,574
464,575
465,576
466,577
467,578
468,579
469,580
470,581
471,582
472,583
473,584
474,584
475,585
476,585
477,586
478,587
479,587
480,588
481,588
482,589
483,591
484,593
485,595
486,598
487,600
488,603
489,605
490,606
491,608
492,609
493,610
494,612
495,613
496,614
497,615
498,616
499,616
500,617
501,617
502,618
503,619
504,619
505,620
506,620
507,621
508,621
509,621
510,621
511,622
512,622
513,623
514,623
515,626
516,633
517,643
518,652
519,660
520,667
521,673
522,678
523,682
524,686
525,689
526,692
527,694
528,696
529,698
530,700
531,702
532,703
533,704
534,705
535,706
536,707
537,708
538,708
539,709
540,710
541,710
542,711
543,711
544,711
545,712
546,712
547,712
548,713
549,711
550,709
551,706
552,702
553,698
554,694
555,690
556,687
557,683
558,680
559,678
560,675
561,673
562,671
563,669
564,667
565,666
566,664
567,662
568,660
569,659
570,658
571,657
572,656
573,655
574,654
575,653
576,653
577,652
578,652
579,651
580,651
581,650
582,647
583,641
584,632
585,623
586,613
587,604
588,594
589,585
590,576
591,567
592,559
593,551
594,544
595,536
596,530
597,524
598,517
599,512
600,506
601,502
602,497
603,493
604,488
605,485
606,481
607,478
608,475
609,472
610,469
611,467
612,465
613,462
614,460
615,458
616,458
617,458
618,459
619,460
620,461
621,463
622,464
623,466
624,467
625,468
626,469
627,471
628,472
629,473
630,474
631,475
632,475
633,476
634,476
635,477
636,478
637,479
638,479
639,480
640,480
641,480
642,481
643,481
644,481
645,482
646,482
647,483
648,483
649,484
650,485
651,486
652,488
653,490
654,492
655,494
656,495
657,497
658,498
659,499
660,500
661,502
662,503
663,504
664,505
665,506
666,506
667,507
668,507
669,508
670,508
671,509
672,510
673,510
674,510
675,511
676,511
677,512
678,512
679,513
680,513
681,513
682,512
683,508
684,503
685,497
686,491
687,486
688,480
689,475
690,470
691,464
692,459
693,455
694,451
695,447
696,444
697,441
698,437
699,434
700,431
701,428
702,426
703,423
704,421
705,419
706,417
707,415
708,414
709,412
710,411
711,410
712,409
713,408
714,406
715,405
716,405
717,404
718,404
719,404
720,404
721,404
722,405
723,405
724,405
725,405
726,406
727,406
728,406
729,407
730,407
731,407
732,407
733,407
734,407
735,407
736,407
737,407
738,408
739,408
740,408
741,408
742,408
743,408
744,409
745,409
746,409
747,409
748,409
749,409
750,408
751,408
752,408
753,408
754,408
755,408
756,408
757,408
758,407
759,407
760,407
761,407
762,408
763,407
764,407
765,407
766,406
767,407
768,406
769,406
770,406
771,406
772,407
773,406
774,406
775,406
776,406
777,406
778,406
779,406
780,406
781,405
782,404
783,401
784,398
785,394
786,390
787,386
788,382
789,379
790,376
791,372
792,369
793,367
794,365
795,363
796,362
797,360
798,358
799,357
800,356
801,354
802,354
803,353
804,351
805,352
806,351
807,350
808,349
809,349
810,348
811,347
812,347
813,347
814,347
815,346
816,346
817,347
818,347
819,349
820,350
821,352
822,353
823,354
824,356
825,357
826,359
827,361
828,362
829,364
830,366
831,367
832,369
833,370
834,371
835,372
836,374
837,375
838,376
839,377
840,378
841,379
842,380
843,381
844,382
845,382
846,384
847,385
848,387
849,392
850,405
851,423
852,442
853,460
854,477
855,493
856,508
857,521
858,533
859,544
860,553
861,561
862,569
863,576
864,582
865,587
866,592
867,596
868,600
869,604
870,607
871,611
872,613
873,616
874,618
875,620
876,622
877,624
878,625
879,627
880,628
881,630
882,630
883,630
884,629
885,629
886,628
887,628
888,628
889,627
890,627
891,626
892,626
893,626
894,626
895,626
896,626
897,625
898,625
899,625
900,624
901,624
902,624
903,625
904,624
905,625
906,624
907,625
908,624
909,625
910,625
911,624
912,624
913,624
914,624
915,624
916,623
917,621
918,620
919,618
920,616
921,614
922,612
923,611
924,610
925,608
926,607
927,606
928,605
929,604
930,603
931,603
932,602
933,601
934,600
935,600
936,599
937,599
938,598
939,598
940,598
941,598
942,597
943,597
944,597
945,596
946,596
947,597
948,597
949,598
950,599
951,602
952,604
953,606
954,609
955,611
956,613
957,614
958,616
959,618
960,619
961,620
962,621
963,623
964,623
965,624
966,625
967,626
968,626
969,626
970,627
971,627
972,628
973,628
974,628
975,629
976,629
977,630
978,630
979,630
980,630
981,630
982,629
983,625
984,620
985,614
986,607
987,600
988,594
989,588
990,582
991,577
992,572
993,566
994,562
995,558
996,554
997,551
998,548
999,544
1000,541
1001,537
1002,534
1003,532
1004,529
1005,527
1006,525
1007,523
1008,522
1009,520
1010,519
1011,517
1012,516
1013,515
1014,514
1015,512
1016,510
1017,507
1018,504
1019,501
1020,498
1021,495
1022,493
1023,490
1024,488
1025,486
1026,483
1027,482
1028,479
1029,478
1030,476
1031,475
1032,472
1033,471
1034,470
1035,468
1036,467
1037,466
1038,465
1039,464
1040,464
1041,463
1042,462
1043,461
1044,460
1045,460
1046,459
1047,459
1048,459
1049,463
1050,471
1051,483
1052,496
1053,508
1054,520
1055,531
1056,541
1057,549
1058,557
1059,564
1060,570
1061,576
1062,581
1063,586
1064,590
1065,594
1066,597
1067,600
1068,603
1069,605
1070,608
1071,610
1072,612
1073,614
1074,615
1075,617
1076,618
1077,619
1078,620
1079,622
1080,622
1081,623
1082,623
1083,623
1084,622
1085,620
1086,619
1087,618
1088,617
1089,616
1090,615
1091,614
1092,613
1093,612
1094,611
1095,611
1096,611
1097,610
1098,610
1099,609
1100,609
1101,608
1102,608
1103,607
1104,607
1105,607
1106,607
1107,607
1108,606
1109,606
1110,606
1111,606
1112,606
1113,606
1114,606
1115,605
1116,602
1117,596
1118,589
1119,581
1120,574
1121,566
1122,559
1123,552
1124,546
1125,539
1126,533
1127,527
1128,522
1129,517
1130,513
1131,509
1132,504
1133,500
1134,496
1135,493
1136,490
1137,487
1138,484
1139,481
1140,478
1141,476
1142,474
1143,472
1144,470
1145,469
1146,467
1147,466
1148,465
1149,464
1150,464
1151,465
1152,466
1153,468
1154,470
1155,471
1156,473
1157,475
1158,477
1159,478
1160,480
1161,481
1162,482
1163,483
1164,485
1165,485
1166,486
1167,487
1168,487
1169,488
1170,489
1171,489
1172,490
1173,491
1174,491
